gid,row,col,xcoord,ycoord,agri_gc
"52066","73","226","-67.25","-53.75","0.3209876"
"52772","74","212","-74.25","-53.25","0.7006173"
"52773","74","213","-73.75","-53.25","1.70679"
"52774","74","214","-73.25","-53.25","1.453704"
"52775","74","215","-72.75","-53.25","2.067901"
"52776","74","216","-72.25","-53.25","1.373457"
"52777","74","217","-71.75","-53.25","2.619491"
"52778","74","218","-71.25","-53.25","7.92284"
"52779","74","219","-70.75","-53.25","2.685185"
"52780","74","220","-70.25","-53.25","10.13505"
"52781","74","221","-69.75","-53.25","6.512346"
"52782","74","222","-69.25","-53.25","27"
"52783","74","223","-68.75","-53.25","36.82099"
"52784","74","224","-68.25","-53.25","19.74383"
"53491","75","211","-74.75","-52.75","0.191358"
"53492","75","212","-74.25","-52.75","0.1296296"
"53493","75","213","-73.75","-52.75","1.262346"
"53494","75","214","-73.25","-52.75","1.033951"
"53495","75","215","-72.75","-52.75","0.4722222"
"53496","75","216","-72.25","-52.75","1.182099"
"53497","75","217","-71.75","-52.75","14.36685"
"53498","75","218","-71.25","-52.75","22.64815"
"53499","75","219","-70.75","-52.75","21.00309"
"53500","75","220","-70.25","-52.75","11.30448"
"53501","75","221","-69.75","-52.75","11.24074"
"53502","75","222","-69.25","-52.75","13.26852"
"53503","75","223","-68.75","-52.75","8.256173"
"53504","75","224","-68.25","-52.75","0.7253087"
"53979","75","699","169.25","-52.75","1.57716"
"54210","76","210","-75.25","-52.25","0.08024691"
"54211","76","211","-74.75","-52.25","2.225309"
"54212","76","212","-74.25","-52.25","0.8271605"
"54213","76","213","-73.75","-52.25","2.228395"
"54214","76","214","-73.25","-52.25","1.333333"
"54215","76","215","-72.75","-52.25","0.6697531"
"54216","76","216","-72.25","-52.25","2.592592"
"54217","76","217","-71.75","-52.25","11.85599"
"54218","76","218","-71.25","-52.25","25.1358"
"54219","76","219","-70.75","-52.25","10.38272"
"54220","76","220","-70.25","-52.25","11.57765"
"54221","76","221","-69.75","-52.25","6.5"
"54222","76","222","-69.25","-52.25","1.57716"
"54223","76","223","-68.75","-52.25","1.095679"
"54224","76","224","-68.25","-52.25","0.03395062"
"54699","76","699","169.25","-52.25","0.2191358"
"54930","77","210","-75.25","-51.75","2.688272"
"54931","77","211","-74.75","-51.75","1.774691"
"54932","77","212","-74.25","-51.75","0.3827161"
"54933","77","213","-73.75","-51.75","1.17284"
"54934","77","214","-73.25","-51.75","1.87037"
"54935","77","215","-72.75","-51.75","7.429012"
"54936","77","216","-72.25","-51.75","24.8642"
"54937","77","217","-71.75","-51.75","29.86965"
"54938","77","218","-71.25","-51.75","7.29321"
"54939","77","219","-70.75","-51.75","1.367284"
"54940","77","220","-70.25","-51.75","0.3437692"
"54941","77","221","-69.75","-51.75","2.549383"
"54942","77","222","-69.25","-51.75","2.175926"
"54943","77","223","-68.75","-51.75","0.009259259"
"55650","78","210","-75.25","-51.25","2.37037"
"55651","78","211","-74.75","-51.25","3.37963"
"55652","78","212","-74.25","-51.25","0.5462963"
"55653","78","213","-73.75","-51.25","1.376543"
"55654","78","214","-73.25","-51.25","1.969136"
"55655","78","215","-72.75","-51.25","11.04012"
"55656","78","216","-72.25","-51.25","24.41049"
"55657","78","217","-71.75","-51.25","6.340782"
"55658","78","218","-71.25","-51.25","0.5679013"
"55659","78","219","-70.75","-51.25","0.6512346"
"55660","78","220","-70.25","-51.25","2.57213"
"55661","78","221","-69.75","-51.25","1.132716"
"55662","78","222","-69.25","-51.25","0.03395062"
"55663","78","223","-68.75","-51.25","0"
"56369","79","209","-75.75","-50.75","0"
"56370","79","210","-75.25","-50.75","1.447531"
"56371","79","211","-74.75","-50.75","0.8487654"
"56372","79","212","-74.25","-50.75","0.7561728"
"56373","79","213","-73.75","-50.75","0.9567901"
"56374","79","214","-73.25","-50.75","0.6975309"
"56375","79","215","-72.75","-50.75","12.42901"
"56376","79","216","-72.25","-50.75","10.47531"
"56377","79","217","-71.75","-50.75","1.638734"
"56378","79","218","-71.25","-50.75","0.6790124"
"56379","79","219","-70.75","-50.75","0.09567901"
"56380","79","220","-70.25","-50.75","0.03069368"
"56381","79","221","-69.75","-50.75","0.01234568"
"56382","79","222","-69.25","-50.75","0.01234568"
"56852","79","692","165.75","-50.75","1.284916"
"56853","79","693","166.25","-50.75","5.558642"
"57090","80","210","-75.25","-50.25","2.472222"
"57091","80","211","-74.75","-50.25","0.3641975"
"57092","80","212","-74.25","-50.25","0.7407407"
"57093","80","213","-73.75","-50.25","0.2314815"
"57094","80","214","-73.25","-50.25","0.7901235"
"57095","80","215","-72.75","-50.25","6.138889"
"57096","80","216","-72.25","-50.25","4.253087"
"57097","80","217","-71.75","-50.25","0.6517691"
"57098","80","218","-71.25","-50.25","0.5432099"
"57099","80","219","-70.75","-50.25","0.0308642"
"57100","80","220","-70.25","-50.25","0.01534684"
"57101","80","221","-69.75","-50.25","0.7037037"
"57102","80","222","-69.25","-50.25","0"
"57103","80","223","-68.75","-50.25","0"
"57104","80","224","-68.25","-50.25","0"
"57105","80","225","-67.75","-50.25","0"
"57809","81","209","-75.75","-49.75","0.1227747"
"57810","81","210","-75.25","-49.75","1.614197"
"57811","81","211","-74.75","-49.75","1.429012"
"57812","81","212","-74.25","-49.75","1.453704"
"57813","81","213","-73.75","-49.75","0.3333333"
"57814","81","214","-73.25","-49.75","0.3024691"
"57815","81","215","-72.75","-49.75","1.873457"
"57816","81","216","-72.25","-49.75","0.9012346"
"57817","81","217","-71.75","-49.75","0.06207325"
"57818","81","218","-71.25","-49.75","0.2438272"
"57819","81","219","-70.75","-49.75","0.04012346"
"57820","81","220","-70.25","-49.75","0.1074279"
"57821","81","221","-69.75","-49.75","0"
"57822","81","222","-69.25","-49.75","0.01234568"
"57823","81","223","-68.75","-49.75","0.03395062"
"57824","81","224","-68.25","-49.75","0.02777778"
"57825","81","225","-67.75","-49.75","0"
"58318","81","718","178.75","-49.75","0"
"58529","82","209","-75.75","-49.25","0.6660528"
"58530","82","210","-75.25","-49.25","2.419753"
"58531","82","211","-74.75","-49.25","1.929012"
"58532","82","212","-74.25","-49.25","1.688272"
"58533","82","213","-73.75","-49.25","0.6296296"
"58534","82","214","-73.25","-49.25","0.08333334"
"58535","82","215","-72.75","-49.25","3.962963"
"58536","82","216","-72.25","-49.25","10.27778"
"58537","82","217","-71.75","-49.25","0.6455618"
"58538","82","218","-71.25","-49.25","0"
"58539","82","219","-70.75","-49.25","0.00617284"
"58540","82","220","-70.25","-49.25","0.07366482"
"58541","82","221","-69.75","-49.25","0.00617284"
"58542","82","222","-69.25","-49.25","0"
"58543","82","223","-68.75","-49.25","0"
"58544","82","224","-68.25","-49.25","0"
"58545","82","225","-67.75","-49.25","0"
"59249","83","209","-75.75","-48.75","2.111725"
"59250","83","210","-75.25","-48.75","3.70679"
"59251","83","211","-74.75","-48.75","1.459877"
"59252","83","212","-74.25","-48.75","1.728395"
"59253","83","213","-73.75","-48.75","0.2098765"
"59254","83","214","-73.25","-48.75","0.3858025"
"59255","83","215","-72.75","-48.75","1.759259"
"59256","83","216","-72.25","-48.75","4.17284"
"59257","83","217","-71.75","-48.75","3.58473"
"59258","83","218","-71.25","-48.75","0.2067901"
"59259","83","219","-70.75","-48.75","0.3672839"
"59260","83","220","-70.25","-48.75","0.9361572"
"59261","83","221","-69.75","-48.75","0"
"59262","83","222","-69.25","-48.75","0"
"59263","83","223","-68.75","-48.75","0.00617284"
"59264","83","224","-68.25","-48.75","0.009259259"
"59265","83","225","-67.75","-48.75","0"
"59266","83","226","-67.25","-48.75","0"
"59267","83","227","-66.75","-48.75","0"
"59969","84","209","-75.75","-48.25","0.5862492"
"59970","84","210","-75.25","-48.25","4.114198"
"59971","84","211","-74.75","-48.25","1.978395"
"59972","84","212","-74.25","-48.25","3.660494"
"59973","84","213","-73.75","-48.25","1.617284"
"59974","84","214","-73.25","-48.25","1.833333"
"59975","84","215","-72.75","-48.25","1.969136"
"59976","84","216","-72.25","-48.25","5.391975"
"59977","84","217","-71.75","-48.25","3.99131"
"59978","84","218","-71.25","-48.25","0.1080247"
"59979","84","219","-70.75","-48.25","0.1574074"
"59980","84","220","-70.25","-48.25","0.04604052"
"59981","84","221","-69.75","-48.25","0"
"59982","84","222","-69.25","-48.25","0"
"59983","84","223","-68.75","-48.25","0"
"59984","84","224","-68.25","-48.25","0"
"59985","84","225","-67.75","-48.25","0"
"59986","84","226","-67.25","-48.25","0"
"59987","84","227","-66.75","-48.25","0.08024691"
"59988","84","228","-66.25","-48.25","0"
"59989","84","229","-65.75","-48.25","0"
"60690","85","210","-75.25","-47.75","0.6141976"
"60691","85","211","-74.75","-47.75","0.3888889"
"60692","85","212","-74.25","-47.75","2.716049"
"60693","85","213","-73.75","-47.75","1.839506"
"60694","85","214","-73.25","-47.75","2.796296"
"60695","85","215","-72.75","-47.75","2.524691"
"60696","85","216","-72.25","-47.75","1.580247"
"60697","85","217","-71.75","-47.75","1.710118"
"60698","85","218","-71.25","-47.75","0.1574074"
"60699","85","219","-70.75","-47.75","0.03703704"
"60700","85","220","-70.25","-47.75","0.01534684"
"60701","85","221","-69.75","-47.75","0"
"60702","85","222","-69.25","-47.75","0"
"60703","85","223","-68.75","-47.75","0.00308642"
"60704","85","224","-68.25","-47.75","0.04938272"
"60705","85","225","-67.75","-47.75","0"
"60706","85","226","-67.25","-47.75","0"
"60707","85","227","-66.75","-47.75","0"
"60708","85","228","-66.25","-47.75","0"
"60709","85","229","-65.75","-47.75","0"
"61411","86","211","-74.75","-47.25","0"
"61412","86","212","-74.25","-47.25","0.8796296"
"61413","86","213","-73.75","-47.25","0.6049383"
"61414","86","214","-73.25","-47.25","0.6820987"
"61415","86","215","-72.75","-47.25","7.37963"
"61416","86","216","-72.25","-47.25","5.027778"
"61417","86","217","-71.75","-47.25","1.291124"
"61418","86","218","-71.25","-47.25","0.3055556"
"61419","86","219","-70.75","-47.25","0.03395062"
"61420","86","220","-70.25","-47.25","0.006138735"
"61421","86","221","-69.75","-47.25","0.0154321"
"61422","86","222","-69.25","-47.25","0.0154321"
"61423","86","223","-68.75","-47.25","0"
"61424","86","224","-68.25","-47.25","0"
"61425","86","225","-67.75","-47.25","0"
"61426","86","226","-67.25","-47.25","0"
"61427","86","227","-66.75","-47.25","0"
"61428","86","228","-66.25","-47.25","0.02793296"
"61429","86","229","-65.75","-47.25","0"
"61896","86","696","167.75","-47.25","0.2716049"
"61897","86","697","168.25","-47.25","0"
"62129","87","209","-75.75","-46.75","1.031308"
"62130","87","210","-75.25","-46.75","1.851852"
"62131","87","211","-74.75","-46.75","0.3364198"
"62132","87","212","-74.25","-46.75","0.7993827"
"62133","87","213","-73.75","-46.75","0.3179012"
"62134","87","214","-73.25","-46.75","0.3395062"
"62135","87","215","-72.75","-46.75","5.367284"
"62136","87","216","-72.25","-46.75","2.783951"
"62137","87","217","-71.75","-46.75","2.513967"
"62138","87","218","-71.25","-46.75","0.5709876"
"62139","87","219","-70.75","-46.75","0.5030864"
"62140","87","220","-70.25","-46.75","0.4143646"
"62141","87","221","-69.75","-46.75","1.694444"
"62142","87","222","-69.25","-46.75","0.01851852"
"62143","87","223","-68.75","-46.75","0"
"62144","87","224","-68.25","-46.75","0"
"62145","87","225","-67.75","-46.75","0"
"62146","87","226","-67.25","-46.75","0"
"62147","87","227","-66.75","-46.75","0"
"62356","87","436","37.75","-46.75","0"
"62616","87","696","167.75","-46.75","0.7962963"
"62617","87","697","168.25","-46.75","2.450617"
"62618","87","698","168.75","-46.75","14.38858"
"62619","87","699","169.25","-46.75","9.12963"
"62620","87","700","169.75","-46.75","2.790055"
"62850","88","210","-75.25","-46.25","1.234568"
"62851","88","211","-74.75","-46.25","2.651235"
"62852","88","212","-74.25","-46.25","0.845679"
"62853","88","213","-73.75","-46.25","0.7067901"
"62854","88","214","-73.25","-46.25","2.549383"
"62855","88","215","-72.75","-46.25","2.947531"
"62856","88","216","-72.25","-46.25","3.944444"
"62857","88","217","-71.75","-46.25","3.156425"
"62858","88","218","-71.25","-46.25","0.8981481"
"62859","88","219","-70.75","-46.25","0.728395"
"62860","88","220","-70.25","-46.25","0.6936771"
"62861","88","221","-69.75","-46.25","0.02469136"
"62862","88","222","-69.25","-46.25","0"
"62863","88","223","-68.75","-46.25","0.03395062"
"62864","88","224","-68.25","-46.25","0.01851852"
"62865","88","225","-67.75","-46.25","0"
"62866","88","226","-67.25","-46.25","0"
"63333","88","693","166.25","-46.25","0"
"63334","88","694","166.75","-46.25","1.37963"
"63335","88","695","167.25","-46.25","1.737262"
"63336","88","696","167.75","-46.25","27.26543"
"63337","88","697","168.25","-46.25","78.04321"
"63338","88","698","168.75","-46.25","84.06269"
"63339","88","699","169.25","-46.25","68.24383"
"63340","88","700","169.75","-46.25","62.85144"
"63341","88","701","170.25","-46.25","5.962963"
"63570","89","210","-75.25","-45.75","0.2901235"
"63571","89","211","-74.75","-45.75","1.37037"
"63572","89","212","-74.25","-45.75","0.5987654"
"63573","89","213","-73.75","-45.75","0.2098765"
"63574","89","214","-73.25","-45.75","3.435185"
"63575","89","215","-72.75","-45.75","4.123457"
"63576","89","216","-72.25","-45.75","20.07407"
"63577","89","217","-71.75","-45.75","23.03228"
"63578","89","218","-71.25","-45.75","1.669753"
"63579","89","219","-70.75","-45.75","1.108025"
"63580","89","220","-70.25","-45.75","0.3161449"
"63581","89","221","-69.75","-45.75","0.06790123"
"63582","89","222","-69.25","-45.75","4.188272"
"63583","89","223","-68.75","-45.75","1.061728"
"63584","89","224","-68.25","-45.75","0.02777778"
"63585","89","225","-67.75","-45.75","0.462963"
"63586","89","226","-67.25","-45.75","0.4506173"
"64053","89","693","166.25","-45.75","0"
"64054","89","694","166.75","-45.75","6.101852"
"64055","89","695","167.25","-45.75","10.51872"
"64056","89","696","167.75","-45.75","40.33642"
"64057","89","697","168.25","-45.75","65.51543"
"64058","89","698","168.75","-45.75","72.18497"
"64059","89","699","169.25","-45.75","69.9321"
"64060","89","700","169.75","-45.75","49.26949"
"64061","89","701","170.25","-45.75","58.33025"
"64062","89","702","170.75","-45.75","17.58025"
"64291","90","211","-74.75","-45.25","0.00617284"
"64292","90","212","-74.25","-45.25","0.728395"
"64293","90","213","-73.75","-45.25","0.5648148"
"64294","90","214","-73.25","-45.25","3.796296"
"64295","90","215","-72.75","-45.25","4.901235"
"64296","90","216","-72.25","-45.25","9.203704"
"64297","90","217","-71.75","-45.25","7.088765"
"64298","90","218","-71.25","-45.25","1.061728"
"64299","90","219","-70.75","-45.25","4.126543"
"64300","90","220","-70.25","-45.25","1.731123"
"64301","90","221","-69.75","-45.25","0.5524691"
"64302","90","222","-69.25","-45.25","0.1358025"
"64303","90","223","-68.75","-45.25","0.3641975"
"64304","90","224","-68.25","-45.25","0"
"64305","90","225","-67.75","-45.25","0"
"64306","90","226","-67.25","-45.25","0"
"64307","90","227","-66.75","-45.25","0"
"64308","90","228","-66.25","-45.25","0"
"64309","90","229","-65.75","-45.25","0"
"64774","90","694","166.75","-45.25","2.58642"
"64775","90","695","167.25","-45.25","11.19092"
"64776","90","696","167.75","-45.25","15.58642"
"64777","90","697","168.25","-45.25","18.81482"
"64778","90","698","168.75","-45.25","26.48976"
"64779","90","699","169.25","-45.25","30.08951"
"64780","90","700","169.75","-45.25","56.11725"
"64781","90","701","170.25","-45.25","60.24074"
"64782","90","702","170.75","-45.25","51.1821"
"64783","90","703","171.25","-45.25","1.502173"
"65010","91","210","-75.25","-44.75","0.7407407"
"65011","91","211","-74.75","-44.75","0.05555556"
"65012","91","212","-74.25","-44.75","0.7623457"
"65013","91","213","-73.75","-44.75","0.2006173"
"65014","91","214","-73.25","-44.75","3.265432"
"65015","91","215","-72.75","-44.75","4.506173"
"65016","91","216","-72.25","-44.75","5.188272"
"65017","91","217","-71.75","-44.75","3.355059"
"65018","91","218","-71.25","-44.75","2.601852"
"65019","91","219","-70.75","-44.75","4.052469"
"65020","91","220","-70.25","-44.75","6.829343"
"65021","91","221","-69.75","-44.75","0.1172839"
"65022","91","222","-69.25","-44.75","0.02469136"
"65023","91","223","-68.75","-44.75","0.00617284"
"65024","91","224","-68.25","-44.75","0.0308642"
"65025","91","225","-67.75","-44.75","0"
"65026","91","226","-67.25","-44.75","0"
"65027","91","227","-66.75","-44.75","0"
"65028","91","228","-66.25","-44.75","0.01551831"
"65029","91","229","-65.75","-44.75","0"
"65030","91","230","-65.25","-44.75","0"
"65495","91","695","167.25","-44.75","2.774709"
"65496","91","696","167.75","-44.75","7.898148"
"65497","91","697","168.25","-44.75","10.57716"
"65498","91","698","168.75","-44.75","20.87523"
"65499","91","699","169.25","-44.75","31.55864"
"65500","91","700","169.75","-44.75","33.63106"
"65501","91","701","170.25","-44.75","20.95062"
"65502","91","702","170.75","-44.75","67.31173"
"65503","91","703","171.25","-44.75","28.46369"
"65527","92","7","-176.75","-44.25","0.3641975"
"65528","92","8","-176.25","-44.25","1.783951"
"65731","92","211","-74.75","-44.25","0.00308642"
"65732","92","212","-74.25","-44.25","1.62037"
"65733","92","213","-73.75","-44.25","0.1666667"
"65734","92","214","-73.25","-44.25","1.361111"
"65735","92","215","-72.75","-44.25","8.012345"
"65736","92","216","-72.25","-44.25","5.209877"
"65737","92","217","-71.75","-44.25","9.196152"
"65738","92","218","-71.25","-44.25","7.135802"
"65739","92","219","-70.75","-44.25","4.490741"
"65740","92","220","-70.25","-44.25","7.225292"
"65741","92","221","-69.75","-44.25","0.07098766"
"65742","92","222","-69.25","-44.25","0.5462963"
"65743","92","223","-68.75","-44.25","0"
"65744","92","224","-68.25","-44.25","0"
"65745","92","225","-67.75","-44.25","0"
"65746","92","226","-67.25","-44.25","0"
"65747","92","227","-66.75","-44.25","0"
"65748","92","228","-66.25","-44.25","0"
"65749","92","229","-65.75","-44.25","0"
"65750","92","230","-65.25","-44.25","0"
"66216","92","696","167.75","-44.25","0.1111111"
"66217","92","697","168.25","-44.25","2.873457"
"66218","92","698","168.75","-44.25","10.23898"
"66219","92","699","169.25","-44.25","14.57099"
"66220","92","700","169.75","-44.25","17.2744"
"66221","92","701","170.25","-44.25","18.92593"
"66222","92","702","170.75","-44.25","63.08642"
"66223","92","703","171.25","-44.25","64.86964"
"66224","92","704","171.75","-44.25","14.55247"
"66247","93","7","-176.75","-43.75","3.20679"
"66248","93","8","-176.25","-43.75","0.691358"
"66451","93","211","-74.75","-43.75","0.787037"
"66452","93","212","-74.25","-43.75","0.1388889"
"66453","93","213","-73.75","-43.75","0.1265432"
"66454","93","214","-73.25","-43.75","0.3580247"
"66455","93","215","-72.75","-43.75","5.567901"
"66456","93","216","-72.25","-43.75","6.07716"
"66457","93","217","-71.75","-43.75","9.121663"
"66458","93","218","-71.25","-43.75","5.601852"
"66459","93","219","-70.75","-43.75","2.145062"
"66460","93","220","-70.25","-43.75","0.3222836"
"66461","93","221","-69.75","-43.75","0.04938272"
"66462","93","222","-69.25","-43.75","0.04012346"
"66463","93","223","-68.75","-43.75","0.4876543"
"66464","93","224","-68.25","-43.75","0.01851852"
"66465","93","225","-67.75","-43.75","0.09876543"
"66466","93","226","-67.25","-43.75","0.03395062"
"66467","93","227","-66.75","-43.75","0"
"66468","93","228","-66.25","-43.75","0.08379889"
"66469","93","229","-65.75","-43.75","0"
"66470","93","230","-65.25","-43.75","0"
"66893","93","653","146.25","-43.75","0"
"66894","93","654","146.75","-43.75","0.01851852"
"66895","93","655","147.25","-43.75","0"
"66938","93","698","168.75","-43.75","0.7045314"
"66939","93","699","169.25","-43.75","5.728395"
"66940","93","700","169.75","-43.75","9.023941"
"66941","93","701","170.25","-43.75","5.589506"
"66942","93","702","170.75","-43.75","19.04321"
"66943","93","703","171.25","-43.75","55.23277"
"66944","93","704","171.75","-43.75","87.5679"
"66945","93","705","172.25","-43.75","65.18827"
"66946","93","706","172.75","-43.75","32.60896"
"66947","93","707","173.25","-43.75","5.691358"
"67172","94","212","-74.25","-43.25","0.1820988"
"67173","94","213","-73.75","-43.25","1.861111"
"67174","94","214","-73.25","-43.25","0.1080247"
"67175","94","215","-72.75","-43.25","1.935185"
"67176","94","216","-72.25","-43.25","4.966049"
"67177","94","217","-71.75","-43.25","10.48728"
"67178","94","218","-71.25","-43.25","9.799383"
"67179","94","219","-70.75","-43.25","1.527778"
"67180","94","220","-70.25","-43.25","0.1473296"
"67181","94","221","-69.75","-43.25","0.3117284"
"67182","94","222","-69.25","-43.25","0.1203704"
"67183","94","223","-68.75","-43.25","0"
"67184","94","224","-68.25","-43.25","0.01851852"
"67185","94","225","-67.75","-43.25","0"
"67186","94","226","-67.25","-43.25","0"
"67187","94","227","-66.75","-43.25","0"
"67188","94","228","-66.25","-43.25","0"
"67189","94","229","-65.75","-43.25","7.595679"
"67190","94","230","-65.25","-43.25","2.734568"
"67191","94","231","-64.75","-43.25","0"
"67192","94","232","-64.25","-43.25","0"
"67612","94","652","145.75","-43.25","0"
"67613","94","653","146.25","-43.25","0"
"67614","94","654","146.75","-43.25","1.632716"
"67615","94","655","147.25","-43.25","4.08642"
"67616","94","656","147.75","-43.25","0.9330878"
"67617","94","657","148.25","-43.25","0"
"67660","94","700","169.75","-43.25","1.678944"
"67661","94","701","170.25","-43.25","9.358025"
"67662","94","702","170.75","-43.25","11.86728"
"67663","94","703","171.25","-43.25","13.98821"
"67664","94","704","171.75","-43.25","28.26543"
"67665","94","705","172.25","-43.25","54.25926"
"67666","94","706","172.75","-43.25","41.42419"
"67667","94","707","173.25","-43.25","1.509259"
"67892","95","212","-74.25","-42.75","0.2098765"
"67893","95","213","-73.75","-42.75","6.466049"
"67894","95","214","-73.25","-42.75","0.9753087"
"67895","95","215","-72.75","-42.75","1.518519"
"67896","95","216","-72.25","-42.75","3.496914"
"67897","95","217","-71.75","-42.75","6.899441"
"67898","95","218","-71.25","-42.75","5.941358"
"67899","95","219","-70.75","-42.75","2.021605"
"67900","95","220","-70.25","-42.75","0.4235727"
"67901","95","221","-69.75","-42.75","0.1666667"
"67902","95","222","-69.25","-42.75","0.1944444"
"67903","95","223","-68.75","-42.75","0.1697531"
"67904","95","224","-68.25","-42.75","0.2191358"
"67905","95","225","-67.75","-42.75","0.09876543"
"67906","95","226","-67.25","-42.75","0.04012346"
"67907","95","227","-66.75","-42.75","0.04938272"
"67908","95","228","-66.25","-42.75","0"
"67909","95","229","-65.75","-42.75","0"
"67910","95","230","-65.25","-42.75","0.01234568"
"67911","95","231","-64.75","-42.75","0"
"67912","95","232","-64.25","-42.75","0"
"67913","95","233","-63.75","-42.75","0"
"68331","95","651","145.25","-42.75","0"
"68332","95","652","145.75","-42.75","0"
"68333","95","653","146.25","-42.75","0"
"68334","95","654","146.75","-42.75","14.13272"
"68335","95","655","147.25","-42.75","17.21914"
"68336","95","656","147.75","-42.75","7.37876"
"68337","95","657","148.25","-42.75","0.01851852"
"68382","95","702","170.75","-42.75","3.432099"
"68383","95","703","171.25","-42.75","17.80882"
"68384","95","704","171.75","-42.75","18.92593"
"68385","95","705","172.25","-42.75","20.45988"
"68386","95","706","172.75","-42.75","57.09638"
"68387","95","707","173.25","-42.75","49.77161"
"68388","95","708","173.75","-42.75","0.05246913"
"68612","96","212","-74.25","-42.25","0.2901235"
"68613","96","213","-73.75","-42.25","6.518518"
"68614","96","214","-73.25","-42.25","3.169753"
"68615","96","215","-72.75","-42.25","0.6049383"
"68616","96","216","-72.25","-42.25","2.040123"
"68617","96","217","-71.75","-42.25","8.168839"
"68618","96","218","-71.25","-42.25","7.209877"
"68619","96","219","-70.75","-42.25","2.462963"
"68620","96","220","-70.25","-42.25","0.03376304"
"68621","96","221","-69.75","-42.25","0.02777778"
"68622","96","222","-69.25","-42.25","0.212963"
"68623","96","223","-68.75","-42.25","0.2067901"
"68624","96","224","-68.25","-42.25","0.1481481"
"68625","96","225","-67.75","-42.25","0.0154321"
"68626","96","226","-67.25","-42.25","0.2191358"
"68627","96","227","-66.75","-42.25","0.07407407"
"68628","96","228","-66.25","-42.25","0"
"68629","96","229","-65.75","-42.25","0"
"68630","96","230","-65.25","-42.25","0"
"68631","96","231","-64.75","-42.25","0"
"68632","96","232","-64.25","-42.25","0"
"68633","96","233","-63.75","-42.25","0"
"69051","96","651","145.25","-42.25","0.02160494"
"69052","96","652","145.75","-42.25","0"
"69053","96","653","146.25","-42.25","0.2048417"
"69054","96","654","146.75","-42.25","17.55864"
"69055","96","655","147.25","-42.25","35.74074"
"69056","96","656","147.75","-42.25","19.90792"
"69057","96","657","148.25","-42.25","1.907407"
"69103","96","703","171.25","-42.25","4.934823"
"69104","96","704","171.75","-42.25","15.4537"
"69105","96","705","172.25","-42.25","16.25617"
